address,total_rewards
0x89f40fde58eee6d66f8f67cbba21886c3640c3e5,24153
0xda6198709c322dfad5f63d76b950ba3e94addb1c,24010
0xc7e2e1294fd43ded47f439d2467f1bbcba37319f,23755
0xb226f469841d193829fa54661eac4ba5ce91a41e,23683
0x7f169c7f83b1d1a911c621ab81a6a62dd9031da0,23024
0xdc064b11f25909acc0be5d1e2ea87e550e640420,22168
0xe9a94ff71f8d91f66783dee373229db25751e47e,22159
0x36cff469705fbe4a62557a0a70871714da390deb,22091
0x71b244c18a046144bb2294c70101d520ea8a0c36,21955
0xf6de2df713b2aa9d6e77f6a031bbb1202737f99d,21597
0x8e24baaaccc39a1991cdf4182afe350adcf87150,20868
0x853e960a347b24143e2c7d317b5e356cc987a05c,20655
0xfa7f45b41c51fb14524faad3d28a041e73f61018,20641
0x6b8ba1eb558396dda171da5f33f2a28e841157fb,20426
0x7bef8e748c72f5df794137915b8270787f38fc97,20065
0xbd4231427419c835f76b87f4b4d5118fa67a8c0a,19681
0x67df1c1276b2ffdcf3dfae8b78812c5ddc3fb2d4,19561
0x3de7b630611a4244c1a684285fa23d9b4158e676,19530
0xb5c88028a9c7f10b98c37b763ca9b0b0fd012b07,19498
0x6d81ab59cbb1f757b0346099b1c5bbf4a9bc2852,19410
0x0000822dfa1832036187b935251a32c4ef021691,19389
0x8853f515534f458fd069339bd2536e7aae3ef805,19240
0x8e14e787665cd7d81bc624cae383e17ca1a2f752,18024
0xfe1c5f4b46230c8bc87b181faebe03c6f3dfaab2,17787
0xdb3d000963a51c850654047f9b8fd7b20a280a1d,17153
0xb0201e5f9ef85374fd31602a7b876a15bd35e510,16963
0x87381144e4c119a8a453a9cd7cd513539e3bd886,16762
0x795f96e07ec90ec4d001f21a66cb0225cdf57486,16705
0x98e602643163c18691b5d1b79046076594a13fe2,16587
0x8c374bcd4ceb795363f8aeac7a685bd4b3d1d316,16582
0x86763e547b09d835eb2d777325c6e72be6138d16,16481
0x8dd897abf26c97c6095391d627d1aac16a19d8af,16452
0x66ac8271b73a9bdd29cce88cdeb3f9059c7726e0,16433
0xdac976629020966a03ed95f19d0db8f3a8a7215a,16317
0x3157612b00f1ecd298413a588d4d0e991dfef15d,16061
0x86742c707e85d6e3acb14f1421cdbb295b6fd5d2,15832
0x74c4d949f7a9942de73b224fc0b8db9533816d28,15814
0x853cde90d822550fb2ef9dbef1cc254a2c0527a1,15777
0xf452ac9ba631c2783da86a1a829f93806a6533f4,15566
0x51334a767a967b9edbf0886e9b943ed77a6ff3cb,15274
0x5cb21dc733745bb8b687a65111261ab855b833e5,15233
0x6c767214676c81b597bf039d045486a6c2a85f92,15182
0x262eef0a806e113d91d71bbf5f7b20fae9f3caac,15090
0x21f94d42edac22fa47363dfc724bba460fdaeb8a,14856
0x155d31040ea1d36b1df6dc37b859242337f50289,14705
0x5f2289d6a0b6a163599dcfb5da2c60d87cb5e9a4,14623
0xbb9b32cddd10b5a7ce96ed59aa5e0552231239c0,14444
0xfb6f219e4ea306d37fc842675dc5d9510d46cb60,14280
0xcCA877408c68878EA02Afd1C441cDaaA05d061f1,14246
0x9d414882fc618720fa8b850184f846422f422bd1,14232
0xce6ae696455e8612e708e23ccd04db32bbeb1422,14172
0xe3a8a067cd256e663bbcb88368fb1524b41f9154,14081
0xc028e6ad5554dd9545b551e45ad01f2d765145dd,14045
0x1537d6b1f95b7f69e92b8f00f2c5a26eefdad36d,14023
0x2107b9ebafe8bcd830c40991aba35ab79811ca25,13976
0x2b5101b6f0e44e46c4deab3a1e954e24acdff558,13846
0x803c86f8281d00e0f888ba784c2c93a19cf5d8ca,13724
0xad2c6c37b240f88b60e22c2f4a987aa843666d60,13700
0x34d9571fc2493e67f40778f406a6fd6ff1e8265f,13625
0x5da8b730bb86d8aab5a85f0e8ed84b3e0450534c,13429
0xcec20d325e8184752c2c5c41a9cbeb2daac96eff,13295
0x32289df1cad17663c5487fafbbdaada306cf1764,13271
0x90ba4dd477f3341815a58d3becf0ee16c8ce66f4,13235
0xebe142d66f4eea5acebaf265e5fbac93abffd795,13118
0xe2971c15a016ec7a058daac844429dfbcab7decb,13082
0x45a3afecd3cfdf64aec94f4937ad82b7e5f15ffc,13077
0xc743420f23ade53ed7b63bf10b9e24af968b18ab,12999
0xd8189e415d4ac557b596141cb8336ce82d97129a,12936
0x8d0e0b57b94ac868839e164ef27240635caff6e8,12876
0xc167b35e8c0c31cb16ba183b617dc79734e785e6,12865
0x34a81d5618a26e87747552c78ec29c38032069c0,12814
0xc9c44747b5b0aa5dbb703038376b0368ab066139,12812
0xd790923a4826b7386f161aec7ac9f6c5183f96a9,12703
0xeade864804656693cbe7ee138391c7f679f124bf,12612
0x9f263ee45362df4ef28f07a3fd2916953eb30f78,12609
0xab73a857c22915222bdb46cfe32ada9d4eb893e9,12572
0x027a46c5d6a25c975620ee56f0cc42fe0a45354f,12547
0x532f3502d92dd7a6105ea7aae94f8cbe09418395,12423
0x3d7dbdb42a6f7e2758f9fda78f6b508ab06003ea,12236
0xb4d4f0e476afe791b26b39985a65b1bc1bbacdca,12203
0x43981515ff8f664e57c7be9f5d5e08ba11e16aff,12169
0x2fa676f4d6bdbba48a52069c58a986b9b9efe3fe,11904
0xfa824459116b68a5fa56d0861212bf28781cbcb1,11759
0x79af3d21e71fe7dbed6d976ea00d3819e247a013,11714
0x9360d77321e9e5bac26617a09b2737d37cb48a2e,11471
0x3295787bf5875af766f200426e465f974e9cb20a,11366
0xbb7806c88edc94045ceaae1bcb20f450c4df8b83,11162
0x3e369bea092a2053207217d9fd58c4b85d11d848,11161
0xd712f015a23784eea9e3debd00fe9fa7559f23b9,11150
0x0e0010d015c0b9279e23fa53e97294006871cdee,11134
0xcfec802af9dfd6df01fd9e060fc3dd08ad8d9b3a,11121
0xf058ccfb2324310c33e8fd9a1dda8e99c8beda59,11106
0xfd75dd09388b289177c0fc2b1fd82fb6dd5103b6,11098
0xaff328c702e24a16830f30182009afb3126c7561,10772
0xdff0c207e0595e20f1bce4149918df19c667092f,10767
0x4e4392064e0a82b37bfb1e569efc2cdebf5fdf0b,10700
0x0352c3b766999ac08163eaced9d0c9cce70c2d3d,10573
0x49240961da23a1a6a09377ee79924a79ec6fd14e,10474
0x5f9e7f59cc83a2da2060fa72e9503e64ffe1fa32,10381
0xcdb1024a7c87f416ddf8f011f5813c685de441cd,10353
0x97eb1251a0ef5aa42bfab649dc040b7e0e41a907,10251
0xf6ccb2b7d9c653f512e7091c3da8cca2a962ea89,10224
0x24b693822a0abe8e2cb9b4dde29e4cbefdf09814,10167
0xac1d06dc942e153c112b0e332736dcd6eab5ba07,10061
0x0eb68ade962a67aba73328769e02e1ae7be7f6f7,9757
0xac400f539a622ccf0fe99d37283b2895b24840c2,9727
0xdcb71c2086f4d9aef8af0710780c29e046fe9dfd,9724
0x297bfc05e59d9d545d08a74d26920f21111663c8,9616
0x8a45bba9f0daecabbae8537f088e23752bf3e0a2,9616
0xb9352580b7afe11314016cd43fd0d01116e65019,9594
0x922736173d515d66893c5a7747cd87a895c19df8,9586
0x6302dd9d0906ebd43230e35149da772386c7ead7,9570
0xb39b567809491f5d200026a3a22a161038b4dfa7,9565
0xb762a542a5c50d18e1e13d54246e1dd2c1fa40fd,9525
0x335d3aad9ae2e80116dcb29498cf10aa222d5c7c,9450
0xf538536182470f8d99b05a8ce2f61f08b2864d5e,9343
0x2109c09a2f2acc1f61e3993b85890e7ce56b0939,9131
0x63b618eaf23d3eb9c761fc231afd2aa91a477a42,9076
0x074db49d4f91d25b8adca4639cf005a533cc04e7,9004
0x40cddceb0ceaae791a9ea9d628d11b4dd2488351,9001
0xf79e7e69da7ef849eeea6365f35fe9ed6e288188,8988
0x5855165cffd8023c48e57fef40113fe6134eba3c,8960
0x97c8159a8f391ed2d53d5a7310044c6a4528dd89,8924
0xe07be1dc3d57ff8958307e3503bb4daaa0b6ab58,8825
0x0f9bf3af38bb6c90f1739f86314e731e23793825,8762
0x19798ea3495fadb49d66b1c3b0d224df7e5e9037,8756
0xefde42783b0cc8e1fa3206754d4b3a646b9e49d7,8711
0x6dda3d258e21abc37668e82ae543e8c77567f220,8635
0xa53d529681dd1a45a598c30021fbed120e320490,8625
0xc860150568c2a51638540d601d02781db3063900,8615
0x41c2c1752007968f2eaec28ce8b8204a9367b10e,8612
0xdc264db8433a6053b83cc85b937a7fbde84770c2,8496
0x04d44ea42da64cea2f9f3f74f95ad29ad7daa916,8466
0x9d93825fd7cb63681731903fb5ee16c0f60eccea,8441
0x313695ced3fc0a9fc4241792f387ad886bb79ec9,8398
0x18085025c2269d74d84e4d2c490f207814b72f70,8257
0x4a2dbede1c1f6016a4a688603356485bf4749058,8203
0x1cb58cfd33587131369d7db48120ba568a1e61d9,8134
0x7c2a8053a59298c06ca290573e4c46f7a7eea34a,8102
0x4769fa50ecaacf9f274cb95564b1cc1aede0467e,8073
0x2765d526931e85db35d0015e356cb6eb4891f838,7969
0x7d46ac58f19a0ac1242989024c1f2f88eae75066,7924
0x0e18c28730eeeb19577880df3b79871580a55f6c,7886
0xcac63bfd84f147f0ff1a1c77909ae2d2ee23a2c2,7813
0x7ad14502fb36d1567647cd626f091b96eda4858d,7779
0xcb6172196bbcf5b4cf9949d7f2e4ee802ef2b81d,7757
0x84efde1bfc8e2689d84ce5a5865a889521dbae2a,7739
0x28f6496edfc0ac8d11a879325fefc824a3ed4612,7710
0x71d905de2b431252e6689c23398ccbbaf1407f18,7677
0xa12397dad8b8be596c8335acdbd55a9d1d912c8b,7674
0x8405c528ce609d9ec829ef92a482b7ab6a53b60e,7650
0xaa49c686e4ea416b592d47585fe83673b251efc4,7638
0x2d8771c600119bbd21bcb4d312db78e706cc1b96,7582
0x51b941ff999a213142121322bc07fe47dff09e78,7495
0x1e7dd142e3f89f3abb88f07fe71344725c26f6ce,7462
0x79e11028f7bad4157202b6255c456d826d3ebccc,7388
0x27b1b5e92131383ece3cf11698ed6373e5d15cc9,7369
0x656e83c4a2991c8bb165c7aa3e96388383015d53,7172
0x272788f11b180cbae3ef58b5c25ec83932e955d7,7116
