address,total_rewards
0x71b468124ddc3db6e91b10c2f8bc222835b7e315,12620
0xd94f00aa2904b3e2b84ef4e665e2b3e80e1a450f,12578
0x0420ecb2e3717eef7a4c5e1f519b0d5114c35bdb,12573
0xdff0c207e0595e20f1bce4149918df19c667092f,12557
0x7e7894dfca2c41067fc5705132e6323ef99eeadd,12350
0x5ba2622cc99315ae5dbb38072d2bb5242678f852,11793
0xdd69d131fbaa48264db48c174d09548e55f6ec10,11500
0x6b8ba1eb558396dda171da5f33f2a28e841157fb,11272
0xaff328c702e24a16830f30182009afb3126c7561,11129
0x0bd8009056d053d156a5274059678eb680231131,10751
0x1223575c6bcb6e942a727af058fa7935136a03e5,10621
0xd031419f4c2da9ed793b76140e1b2f59753f3ff6,10583
0xa6d784ce4dc3f2a7c4c5813e7c20b750f2ce7975,10511
0x4eef9ff3e0d2040cc71840ab6be98795d3c07bd9,10426
0x284357c1b3ff1ca0c268097a10dd20187dfe760d,10397
0xfa575bfc7307af32cc084a525c796a4a06ef403f,10122
0x124d9d49fac16dfb08832af857d9296762df7ad8,10016
0xde587a7885f9941df32af21dd42c7a22cf36dc0f,9541
0xbd74dcece6657eac00e55c442220319da39206c1,9525
0x8d40b198fec5d7dbbb059ee047b5fc12b8360d85,9314
0x7f169c7f83b1d1a911c621ab81a6a62dd9031da0,9125
0xaf2783176c8d7f91050179bc721c6bc3379ea0b4,9084
0x2d8c251fc3beb87ab9206946a69ad8ef3901ab54,8978
0x09da5986fa202784018c523f7a2c12b2c4583403,8797
0xfa7aa93954c9f65a6685d035cfb929ccdcf560f3,8772
0x3de7b630611a4244c1a684285fa23d9b4158e676,8759
0x7fd3cacc3ef21877c718af769b5326d702662c7f,8686
0x55544cdef4b63e61a8735c64d0c7dde0fa9f82f5,8441
0x160276ea35b052b8d06c98670da1daeb1255191d,8302
0xc43bc15e6e8c5976b33216ba29fd4bee1a112eaf,8098
0xfc4d70b0d3706994e398deafc939bbcfbe33c61e,8054
0xc122845e1312bcf4aa3d025aa6d7643a6906e85e,7511
0x13844586ed2ecf092e6a78cd1d08781398edd194,7429
0x392b7f2391d8df0c60a4c0a310a2be279cf4cd36,7341
0x00fc3beabd3b51be88545ff28c0b6d5115996b8d,7075
0x34a81d5618a26e87747552c78ec29c38032069c0,7071
0x9eeee3aae3db3433fa302c321bab449b449d7686,6955
0xcb6c66407e21bbe3cf062028e061adb1804527d4,6729
0xd00e6dad2d07ba83875a533c7d7f2bcc874e278c,6728
0x495649ab73acc35b12c0e41eac6a731241bd010e,6586
0x73928dc29caf06dd68826c0ddabd69ad11819913,6447
0x4188e101835cfcac78f304a717ae8f08a2ea51e1,6358
0x2092abea1b85ec6783e7925b34539b7d75560fdf,6330
0x170a706635b481bcde17c5ef4670f2161bb7b6a8,6308
0x83979c3b1561bb2d274a05a9f5c5a94454c90a5c,6308
