address,total_rewards
0xe6403fdff818a6f96d337ff90f7565468fa03e80,64456
0x3536e3a482ad1e419c090ad62b0028ed66ae15f9,63417
0x124d9d49fac16dfb08832af857d9296762df7ad8,62514
0x87381144e4c119a8a453a9cd7cd513539e3bd886,58652
0xf1dbdc482cb7730c86db25266d3faddf8d3a13b2,56449
0xca03bd2be080c8fdaa5106cf164a1a13aae0fcd0,55733
0x2582e9808b0d78224bd6ddca5a4bdbc579f7d7b2,54239
0x08d03c053a54374dd3e2fe8d240af85c7ffb2088,53624
0x5627fa7883e7ed4790b8839e55fbaac79d43104d,52891
0x7d8566fb609b311dee6609b98377d7c337b44c5e,52576
0xb85b15197f0d827fe7350c45400dbafe850e54f9,52480
0x1aaf9df7f4fa989b30355d460a5ef3f484efbd1c,52274
0xaf2788c6b3b080fc7e6efe1c4ef861ab087a0589,51714
0x67dfe0230621754df1a477a1e6399dbb2e944f08,50515
0xfb6f219e4ea306d37fc842675dc5d9510d46cb60,49399
0xe7adf135c7989ab554e4a363783fd0d5ea495c61,48924
0x6498ed4e7577584a59e621e42de4ed0dce80c136,47881
0x20bfbc40fcd9f296a209feb86724bf1185d2bbe6,46823
0x51334a767a967b9edbf0886e9b943ed77a6ff3cb,46807
0x09da5986fa202784018c523f7a2c12b2c4583403,46356
0x541b25ece863c085c37ea2db2dff506c95bd3236,45977
0xc2326185635b059d51d605340b1615f265f9ec2d,44379
0x56bd2541538258bc8b62c00904bb1f19ea99eebc,40705
0xcf7872f3ad1f2609aefc0f1805f9f046ac559848,40499
0xf06038de471ad178c53b8a1d88ddf44bf6c0a1dd,39165
0x6d81ab59cbb1f757b0346099b1c5bbf4a9bc2852,39136
0xbae7fb168206d12152980162dd9f96dc7d5d2e8a,38820
0x0004f536eb5212391f236b83e298f608063cc593,37937
0xcadfd6996d950b3e9d88840fa73f4cd0ffe38d7c,37274
0xc040162069fee0485572aad993149b6df9d7ff76,36716
0x9d831e73ecad323edadde2e6ba9093b65f10f19e,36369
0xb7a0d28fe88e8f5bd690dd5bc558fbe679dde0e6,36136
0x8146bb51a52f6a06af8c6071be6acaf16ef438e4,35858
0xd1a0931de7a002d0d47117404bcbb3443fafb618,35692
0x8b0db71ee5abda29ba2a36f0e69926a213cd7d66,35669
0xcb469d51b82723dd7b3e3f0b230692025c391d47,34310
0xb4d4f0e476afe791b26b39985a65b1bc1bbacdca,34279
0x6598feb8a2992c794e1c8167fd88e67bc64b88e0,34166
0x29741ff6a136fa89c95c8701b32d7c07b838eadc,33387
0xb0201e5f9ef85374fd31602a7b876a15bd35e510,33320
0x2fa676f4d6bdbba48a52069c58a986b9b9efe3fe,32882
0x2b3fbd3fa6cc322bf2cd9fb58faf540466b395b7,31749
0x24b693822a0abe8e2cb9b4dde29e4cbefdf09814,30970
0xc5c845576e39dfd98125e887801b0f72298a5302,30635
0xdced13066db99327a415643a808f8c41efbb4d4e,29284
0x8682750067e169984828715ae7ace54240ef65ac,28837
0x0eb68ade962a67aba73328769e02e1ae7be7f6f7,28798
0x18085025c2269d74d84e4d2c490f207814b72f70,28468
0xd9b0470b80bf270776cae229843b0866e677a6ba,26931
0xcb6172196bbcf5b4cf9949d7f2e4ee802ef2b81d,26109
0xa7ca3fab938e598b824088a9a7ec0a7118120b91,26092
0x7f169c7f83b1d1a911c621ab81a6a62dd9031da0,25889
0xf0fadbafb1eba79c40a7635ffc798efc5dc8e20d,25581
0xe5f8342c98c79c4701912e6c1da5bf6fb2263671,25432
0x871169022e4f16d5c04bd3d84a823c16474f14de,24934
0x8e24baaaccc39a1991cdf4182afe350adcf87150,24865
0x76ee671ee947179c7713cbef2e69d6ad37048dbb,24389
0xba29160b15322a81a5bc94e7e78cd8f5d3ba5958,23066
0x14127376dc2b0c23036764db1e12e7efd9645566,23037
0xcdb1024a7c87f416ddf8f011f5813c685de441cd,22888
0x2d8771c600119bbd21bcb4d312db78e706cc1b96,22811
0xbc62baa3a1ab2e40d7142594c1b26a09e20044ef,22487
0x734534e4e3d740e642d1d1c9ab22796e498a2c50,22389
0xc8e6088387709a26bbfb6175ca3c59cd58751764,22274
0x2bd97a82219657f234f7925de5a06f0cb342e2ab,22217
0x6b8ba1eb558396dda171da5f33f2a28e841157fb,21752
0x6e275ec6cc5e36d97879c4f24159df4e4b2dae10,21343
0x876714b05d98fe2e651dfa6e956ae99c9cae9c3c,21325
0x7ad14502fb36d1567647cd626f091b96eda4858d,21238
0x9b14ebcdbdaee6a46b78493475fcf1277278d3b3,20905
0xdb754a4f8ca0cbb2330a0a027a13f54884531e67,20604
0x417bae373df9312212266c642de0ee47cf974fc9,20436
0x6db06f55b779a8140020419f712ec87bfa26427c,20367
0x3984f5d2e988b76e87282f53c7c46a165a5f108b,20335
0x2d8c251fc3beb87ab9206946a69ad8ef3901ab54,20281
0xd33d36cb47e8853abe9e3ac8e229f7bdc7e05ffd,19816
0xdd4fb73debfdaca2765f5698b83f7ad81caa32ed,19538
0x5ba2622cc99315ae5dbb38072d2bb5242678f852,18647
0x91020245fed3ea0e45ac97bf6968e90033a933f5,18575
0x6f79a2cd513e3db2b886683ec8fe5429dc999a47,18455
0x96a66500baaf982191f1b81416fd43cfb6f23087,17991
0x3f17d304ab0f0db2721a6b05cf2b2de15b1840db,17940
0xb78a7cf75a7839299f32ad8444c11004b7c2d998,17911
0xd897411c97100ff57ed8f0e48dfeed1626c44d76,17845
0x58eeabc0cb387118ee0e5c43a29ad8f6eaf6fd96,17202
0xdff0c207e0595e20f1bce4149918df19c667092f,17176
0xfb66e7d2e9da45a2b74b18203114e27aab880132,17129
0xc122845e1312bcf4aa3d025aa6d7643a6906e85e,17041
0xe02e1a292fbd4a5bd353003eb9f20d6bf64ce959,17029
0x13844586ed2ecf092e6a78cd1d08781398edd194,16854
0x7e7894dfca2c41067fc5705132e6323ef99eeadd,16797
0x0c2e2f6f1041599a0ab2ac27ced05da37de742ff,16558
0xbf23bb178502f31c08cabe0227df1e0f70495501,16519
0x738d7283c7172e90acabd1e3f710addc0f8a5c54,16428
0xc17cafa9d53398e135c6d9a28162b619b154573b,16417
0x8f4ab2eb24a337f6931df5b6388a659efe7b600d,16334
0x0420ecb2e3717eef7a4c5e1f519b0d5114c35bdb,16277
0x34a81d5618a26e87747552c78ec29c38032069c0,16238
0x745ff91681173a6109dfa58e84e425eff490be6e,16189
0xa917f65f35834f6092825f4734c2554f104be4ac,16104
0xaa433bce2abacb6bd7c53947c6ba49c9cf06fdfa,15704
0x36cff469705fbe4a62557a0a70871714da390deb,15555
0x3f2f7ff926017eafabefd9533d0c2ab11568c1dd,15414
0x925558e25833411f3a63e0eddc256d564ad39dcd,15100
0x2c59626f0c1b6c06d1bfd6192e92555e339a5393,14644
0xcfb0a1637e9af76a544b3066a9ad24d935fcbe0e,14081
0x79e74dfc0c134ba10280b8222eb122aa61a3858d,13760
0x922736173d515d66893c5a7747cd87a895c19df8,13570
0x61a61d776966ad41ced0c3008b3f5e4fd50b339c,13557
0x2107b9ebafe8bcd830c40991aba35ab79811ca25,13330
0xfa575bfc7307af32cc084a525c796a4a06ef403f,13099
0x392b7f2391d8df0c60a4c0a310a2be279cf4cd36,12983
0x67df1c1276b2ffdcf3dfae8b78812c5ddc3fb2d4,12914
0x74b10c5e374a762067b3dbcb8b935bfed3938cc5,12873
0x284357c1b3ff1ca0c268097a10dd20187dfe760d,12768
0xa958b214a7192513fb86e096410aec83315dd22b,12487
0xdf8a3460d5e2cfa33c8aa296c5c52ea966f2dfde,11675
0xaf2783176c8d7f91050179bc721c6bc3379ea0b4,11065
0x7390f33fa4e24e7c03c69f2c120c734f5e9028b1,10954
0x8d40b198fec5d7dbbb059ee047b5fc12b8360d85,10897
0x5f2289d6a0b6a163599dcfb5da2c60d87cb5e9a4,10878
0xf1c58084756bee3ca9b4a4505ea37be61a624c30,10876
0x2e8b100471419ef5cf6440daa69b4171d1ede352,10350
0x263339addb25d529964dded2088f81df423dc32c,10317
0xc43bc15e6e8c5976b33216ba29fd4bee1a112eaf,10298
0x65ebedb23002178f94caf0b49cbbf8dbbf8abd72,10289
0x00fc3beabd3b51be88545ff28c0b6d5115996b8d,10260
0x3de7b630611a4244c1a684285fa23d9b4158e676,10078
0x47c95827d426d844f36118f9f1af320672794f8c,10053
0x1223575c6bcb6e942a727af058fa7935136a03e5,10042
0x9b3853cc5734f18ab95e99e6fa4e7fb5da1e1186,10037
0x4eef9ff3e0d2040cc71840ab6be98795d3c07bd9,9882
0xde587a7885f9941df32af21dd42c7a22cf36dc0f,9806
0xd031419f4c2da9ed793b76140e1b2f59753f3ff6,9668
0x8025c0868813bd2f76b2f66c064dbe313071d244,9394
0x8e0cfb43b814e8a919d7a80987dda5b98ad401e9,9088
0x32289df1cad17663c5487fafbbdaada306cf1764,9047
0x0bd8009056d053d156a5274059678eb680231131,9005
0x55544cdef4b63e61a8735c64d0c7dde0fa9f82f5,8810
0x9eeee3aae3db3433fa302c321bab449b449d7686,8446
0xb762a542a5c50d18e1e13d54246e1dd2c1fa40fd,8407
0xc860150568c2a51638540d601d02781db3063900,8242
0x72b6f181dab2722701ba2a21404b7c83911150a0,8232
0x7bef8e748c72f5df794137915b8270787f38fc97,8184
0xc4096a18a671f2009d7dae138850a0aa85c420d5,8162
0x4188e101835cfcac78f304a717ae8f08a2ea51e1,8049
0x59ab7428f709393b14ee2b579895087addcaaa94,7899
0x170a706635b481bcde17c5ef4670f2161bb7b6a8,7810
0x6cc1b637f518ee5ffa069aa78d70214a9005d390,7674
0x9d4079d2ab6a84fccdce3e2c698aa523215cef3d,7555
0x71a0591e6f3545bcca59b0a639cff8a6b5fc32fb,7529
0x6b907cc08e91b5ed95107ecac9b9b1edf220ba48,7486
0xec6966d837d6151b5959cfb90dd79b1ea40b9608,7456
0x6d7d11ce3bc280a14bbe795db735b7d307d337bd,7420
0x669a5f34bdbe50ce333467ac933d0aadb241d731,7396
0xfa7aa93954c9f65a6685d035cfb929ccdcf560f3,7336
0x954af0920a6f67e796ef14f831663fda0748f190,6686
0xcb6c66407e21bbe3cf062028e061adb1804527d4,6627
0xd00e6dad2d07ba83875a533c7d7f2bcc874e278c,6577
0x9070edf8cc45f8cd8b539e83574db7f4eb069fab,6546
0x495649ab73acc35b12c0e41eac6a731241bd010e,6537
0xc2e62a75f79d9b4adda9b4edebb1039b0c70f9b9,6378
0x73928dc29caf06dd68826c0ddabd69ad11819913,6322
0x241d0cb03d29ce42f262229c25099652731b8783,6296
0x8faa3064df3279ea832223fd5db33d3684f43e30,6065
0x8724ddcb641bba407e00f9998ccbf664c7c8c7ef,6057
0xb60b4c15b2e8e22dfd9a4b6197128f8f21a8db9a,6012
0x1b8ae9b91cc388c0e2fb65636251bd54a9e2740b,5994
0x2092abea1b85ec6783e7925b34539b7d75560fdf,5993
0xf1d39a63132fa72b8cc1b1cee0de4f9308c324c6,5965
0x7f7220c2cbf34151ebc5713828b8d0fa9967864a,5958
0xbca9c546fec69c54930e0517f7849d356c44ba2c,5949
0x27a07f50713472c5c25b21b7897bb9c2ef90208a,5817
0x2b21994ed0e7e6e787b43fb501c4faf2ed1f8b38,5782
0xd14021a7b8fba0cffa1e1fb65082f683e03202b1,5613
0x42765a44019c6217b472a049f9b72bd181d9faeb,5589
0xb22546c0402a47ee9777b5b8115f0bac0f963e38,5573
0xf641ece2f5ef56531478da4964ea862244a69341,5447
0xaf1f2d81a41e85367ff110700e94efdcff602440,5352
0x0a42c65da520f33688605f884dfdd8126e6f454e,5256
0xfff67a4355a12ad68298254b1b4d0d9057ee5064,5229
0x125dd28972b8020839ed116d91c2bbf41f7cad02,5196
0x9b21d8f2a2aac3e28ffd8e3c7c925ee5d5daf20b,5173
0x4579c9876a6b1dc9bf0b8e0e700789d6638db725,5145
0x8e14e787665cd7d81bc624cae383e17ca1a2f752,5114
0xa1e6d046f7d76908ca869082c46191dad035e632,5001
0x18b1b66a347c0ea2f6972893e4f82ee668cebe34,4983
0x96e87f55f8807e6737667426f48dad0d9591d37f,4941
0xd4f588043590a1573e96e170b9ab5da4cacd993d,4936
0xe9fba15e7af3f41768aadf67d0ea1c5879618788,4912
0xcc2a8472f5a9ee275639fa6bf6bb901e5cefdf5a,4905
0x5925039a7b9381dcfc67bdbd3dcc274281792084,4833
0x83979c3b1561bb2d274a05a9f5c5a94454c90a5c,4831
0xfa76fc2362f93bf8e361c2d7cca528706512fca6,4800
0xbc5b97597964e58220587e72ed759d44d21a4bae,4745
0xbbb2d809e75d11b30f4f6eade9dac66342287a65,4717
0xa12599a8a05942f3772ec3da1fa27288a3f9ec6a,4681
0x0cad008933a252a224320ee2b2b10b004563440e,4672
0xff99012a107ab88b19a08b3d83a6fa2fb561e6d8,4623
0xc6cb1b6c6f1639d2fba96c033ac2f1d12fcc1449,4591
0xf77d5a52cb634b04680c2e907f95221ec33912c6,4554
0x6a47df28ddebd92e9edf0b61b023aa3474c9bfca,4532
0x536c86062263966cea8f39b33a503383311dfb47,4532
0x127c219b245a440eb271278bbccdc0145106da50,4529
0xf4d419447c80e62fded453612f5c17b326a9bb11,4473
0xa9531d3b5483bef6fae3b4be62ccd83697ab92b1,4421
0x80a3e892328b66d007cef0a3893e8fa22a7eaf63,4387
0x05aa75638763bb16433c1ac6b9d8c2b0720b88cb,4316
0x259762e379ae7ad6f74375781d7c9598cf3facdc,4132
0x59d2824a12ad5c70c764e705bd8ba2cc2c617b31,4062
0xb46c7a406c796555c8ad5c8cdadcc2ba95aea5a2,4011
0xc82ec0f3c834d337c51c9375a1c0a65ce7aadaec,3981
0x6812a74e57bad9a7b482450d0fcc42b83fdf673e,3855
0x4a7adca0f90b53afcf765236c19e2eaca96c4cc3,3790
0x89077e4b417b170a5ec02965c3dccf636e02b5db,3771
0xbfb17c94e73d028cd35f6c948486d94ec0cf40e4,3754
0x7ee71beb873e9974c0f60cca0af91528314ebd9e,3747
0x3debc3e0e1326a3d87cdd9965c6cc4deee94c6f7,3703
0xcfbd9ae53eeab89951b5daea26176efdf6f39030,3629
0xf76334c608dea239457cbd724983905367d27b98,3613
0xa5e46089f6e9b1f5cd7d828727c6238cb2b3af75,3611
0x5af25dc2efb41d373b809b8bdaa8a9319155d635,3582
0xafa67de3fde04bb9c5f05ffc8860e77ae1abc50e,3544
0x271f0785cf223570c49bee727a0bd0956ff6cdeb,3498
0xc9997573c4dbf5f0bc5bf42a27799eb439d67385,3496
0x07ea6302f16ce31158d01d96b24d487ba7ad5615,3446
0x4e15422cac936d4d8213c83f9c5ba6dafe374806,3435
0xd742aeeb0fe174d0ccb28ca9905ffd33bc9fe9fb,3421
0xc9718b9158bf979a6523d9f11b8f1d544231f05d,3400
0x4961271c6be14562410be41b74b21d85786437a4,3388
0xe21e986e7370fc0d4f894e3fb442e2118cfb37a9,3377
0x9047d7d076c857296456ac79abe0e22c532a2996,3373
0x9520c4ba05bb81d875f6a36fd61fcba418d87626,3372
0x9276d686031e9866d0a15a61d59e640ec2e58423,3337
0x8aa306735c453de979591d1fefdeef4660f246af,3329
0x832a38a79bdfcf2be39f43932ddd1c4803eadc48,3284
0x4b7e04d325eb1bd1cee0e6389fb00f224954fdb6,3258
0x14b915695e266908f1bebf316990c25ee4894c4d,3214
0xd790923a4826b7386f161aec7ac9f6c5183f96a9,3210
0x497ca35644767749ca721db5b3fa55ff54dd4a33,3148
0x57ca70e4bd188bf68de0338567cc7530b88215fb,3145
0x880c205096f62bd9da0f1acf3c34794789bbabe6,3132
0x03bad730106fd0856bcddda347265fcd3b9b12e4,3127
0xf8e31c0269183f56447d8c0f6ea141f090a6b87b,3117
0xffbb5b68a2dee390ef8230744f8d3a06f35102c3,3088
0x31ffd8400acf5f46fd28470c6a3ac95db5fa5aee,3082
0xcac63bfd84f147f0ff1a1c77909ae2d2ee23a2c2,3072
0xae671d73ecb1097cc13f388137f26cd3558187a5,3065
0x61a0d43ed1520966090a53666c4e48d947a1b995,3041
0x42b48e3454bf8c2d06e6ba54cb67b637b2db1013,3021
0x1fcc475968a7fae3dc582cb4ada42cb155ebd1e7,2995
0xaed9f2acfe5e2e86f540b430a2fac1cddb8b3c0f,2987
0xe605f0c88deb3697c0cf284a79f1f2dbcc52cc3b,2926
0x1f9d10e5b93c4f205c7f2e6476aea98544cdc55b,2908
0xd02a691141804e2646384715350fd265d524df49,2881
0x839016358583b375c9ac1c92531699a9709ab1ef,2782
0xf3ec68ce18113c20441c4743966d7c3f2a5e4ca9,2770
0xaee7bd7e4ca2002e72107dbc5cce5956cf350052,2746
0x13f0aee1b19c0f0059d1b0472783139c6abfb42d,2738
0xa39fc2c9c437f2e56901ccc6bd18ee1100c82686,3379
0xff31898b480133cf417919ab55025343781cc08b,2714
0x6081d1cdfb99c340cf926c06a450fdcfad11c7f5,2688
0x356c197ac451be6f2ea8b2ff2ca22f8f86125085,2660
0x029b3172b2ebd577ff854c83f58211045615a758,2652
0x10a28632a3133536b4d0f5aad2e96b5f8b7d9a84,2651
0xc167b35e8c0c31cb16ba183b617dc79734e785e6,2638
0x74c668285ead713d2323f20e94867f5dc06cca1a,2594
0x137250c22f527642a7391d9f306b43bb9cfdf676,2572
0x1d6ea450f99c04495537f71de5792cb3e97f9041,2497
0xf6d75f8fa74010fc97734163cf64d30aed01f751,2496
0x28f9cb69a192c51935eec3abc69eede2965f7868,2471
0xb201366978db44a94b0523949054b28ea043faee,2462
0xed220b9ab3361fb06e5382ed7e75cd5485ceb6c9,2425
0x964b54237ea48f8a2c33f972e24c014e5bd1a71c,2409
0xa38137e7752b72581a1343a6dada462bf5a17520,2394
0x0392ae5f3b35eaa9cf4148368366e158dab3a14c,2388
0x9360d77321e9e5bac26617a09b2737d37cb48a2e,2365
0xc62c734f64ac97418960b9d3e0a9745588202251,2333
0x20936a11c17199c3eedf08d071279f386e319cc3,2288
0x87f8c64e99bae0b50f3552947d93d750fedb0242,2287
0x21abad01d61a11f350d174a0cf590c4090eea08d,2284
0xd70464a147925dde45821d92e07a49082107b862,2261
0x448e70bd08ef98248a077a4a7571f365872e73c2,2219
0x660bdd2187030ea0cff7114d9aec3f97f2b30519,2198
0x16962d9196736fa732dcf28a45d4580f3eb48940,2194
0xfdc185b8d09d40070ebc7959e3f6a0f8bce59fef,2190
0x02ad0b900363576513a1a23bfda7fc3b4b52fcc0,2152
0xdc21b92372231137c5b07cebff3b7e2f5aff97e5,2135
0x30fdb1020f4908b9f91419828786c6b2868de8e9,2123
0xb7ea8190158ab7e6669f244372d10d97ff9a735a,2083
0x7fd3cacc3ef21877c718af769b5326d702662c7f,2076
0x61da5ff32e56edcb55fbc4f187310b858c53973d,2049
0x4d036928818bfc15285d74bc22ee9a1dafa60122,2049
0x4d286b910e5a4488d3e86282dd2af5046da3705b,2019
0x791a6eba54b5abebd4f3a68e300500559d96f113,2010
0xd6b9f1c641c5e7a542d38b785df4cb7b653d409a,2009
0x110e611bcba15733bdc544f2933f2e21a3396811,1998
0x3a4061bfb18f71595183fa1d52d0167ac83f3e00,1986
0xa2dcb52f5cf34a84a2ebfb7d937f7051ae4c697b,1984
0x77f3dd68c14a5955914d4aef9bca977768c5e68f,1956
0xed108b302adbaadb62e0f7f4f46d43c1e4d351a2,1936
0x86e7dbc6575b53683ff70e9e0920b974212b9b70,1917
0xf4ab2e0a0c9f13be2ddf54d855a085e2287406ee,1911
0x67daade472df5bf990f136ebfb57427fb150a4dc,1885
0x41c7eaedd22e5b48e55c9c003f643d586277884c,1845
0xc069b19c821edd6690411654fbb70f458559bd6a,1834
0x7ee24655405af84225cb6a9b398d28b66d0019a4,1821
0x6dd7687ad5f3a6c692540f8d45e88e6e21bc65b7,1818
0x1e7dd142e3f89f3abb88f07fe71344725c26f6ce,1817
0x1ffee537f3ff77794808d61caf12b05bce7bda8b,1813
0xe56ebb624285aca3a910d24118152ecc50c1521f,1796
0x6b25c88779460a335b8c0a145b45881c084d3bd4,1796
0x8b0d7c2c6bc3bf3dcb55d8c1067520b6d59ab7c4,1788
0x385beeedf8813700c0eac72f956ccb7cf3256fca,1751
0x0fafff2817de137b5195e706dc3e9caf90a01046,1741
0x57a10c1df0fbaa335b79131e7781d4b6adcd2822,1729
0xcf9753f94e5f539ab2bea4582bfbe3d67dcc762b,1723
0x8fc09b0ca1db3305470802fd371a447f6061a769,1721
0xfd387faa9c002d8d773c88534a4f01c599320e83,1717
0x4de6f265cae94b0baa312aa3c5c4cab909249013,1701
0x7cd13ada0b4cff8c1ca7a1a2d63015ff58c3f340,1700
0x9bc910f14b0ee83689b9f49337b1dfd2962dbb94,1671
0xde75478008e5b50467940aeefb4303a59d312ba4,1662
0x9c9b128c51f385aea4807371995f132a8c6f6c56,1652
0x2a799fb09e19511fb10aa045595447d97b46b592,1639
0xe11dcdaf89c516b39207fe09e50bdda5745dbf9e,1626
0x4f08f7fdbceb9d918446998fa6422ae2aa1334b9,1607
0x42a4589beee725bc5532251756eac4a3b72218c8,1586
0x1538ac87b1ba863f9637c19c0c9d9a1ba98bc27d,1578
0x5f9246caa3ca173e512b07c71ca7d5ac8a3d87d7,1577
0x01b899d1f3da9d718fdfa0537ef833e5b6f61b3f,1551
0x1061596c1a63a3e72f8e1fdb40913130298f39bb,1538
0x759fb43e7ce51f9037a0b9ffefaa67448412c61d,1528
0x157252999170cd6dd90a586f8ca458d01082e622,1526
0x6621f3a1065e4cba54058a2f6ed3dc1deefd6aec,1521
0x16461ed038eb97be5a483c8a1618ce71b71a4ac8,1519
0xb27939e643d3c4733476bd0fa4b3f0c6d04707ca,1514
0xefe022d6c32cc87671f4ce9bc6757f28ce07eb56,1506
0xdcace5015c70b11668f910de01e6e1271c90f236,1486
0x4ecb0e69e190bca1c9730b7d8d644d38cfa90c52,1486
0xb819b99a1267e41aeeb11fcb2c857450f25406fe,1465
0x168f532e683a251516d8611d22af0773fdd94770,1462
0xbfd01553b14e594c1ae6ab693a0cd03ec25b4c6c,1461
0x1933a3602d1ad20840dc198946803e0ab2b49d06,1460
0xf195faa0602f8b6537a3ae6a30c4ed618fdb21ed,1435
0x7435a0e7164ca69b36ab6983944a59e44eefc6fe,1423
0x8d52c629cca4f4c4efea8b398e8d6256427b594c,1422
0x3e97cc1ffd19ad65c8644d1f8304bd79ed0b383c,1418
0x469607e697bf1ae57bf5751f98587e8eecd565ca,1411
0x187f381ece4183496fec127489d7b2865e9f8d80,1400
0xdad2ae885d737a59f1c986ba69031967b988998c,1395
0x1cd936197ee9928858ef15d059db444bc9f2d08e,1347
0x0223be446fdcdf1aec8b980498a4baad5cf01b6e,1345
0xcffef3c106214d1be8cbf40c76076578a9636ffd,1345
0x678f012b57731d9b97858a3cae9aa93e82c73d1b,1319
0x575bdc432b55d27d596050370f120a0e178211fe,1319
0x732a14d8196c401e58afa2e75c761230dc530674,1279
0x424fbfce9263f877fd4459ae95e12fda208b9174,1279
0x04ec1a0a1f349a8c14135c46db21b891c6860992,1270
0x51b941ff999a213142121322bc07fe47dff09e78,1263
0xb964b57b4404fb91341585260a7c0a4a2b3a7d2b,1255
0x57c7c5b1f3b5571270c343fffd15193ec7e839c7,1247
0x9c0e282684e1b6a0128559e99b135e49a2b81dec,1244
0x928f2475c3fa837d428d9b0776b5d60d1c53b5c5,1240
0x3489dc4338283a3a00d36d154105e3bedca106e8,1230
0x6ebd55ec1d869fb50e5508b8d8ec973179fb9e0c,1218
0xec410e975682f2156ac3e2b207d0f4e5cc3a8d91,1213
0xd3abc1a5483809fbde47cab669f7331b9c7e2545,1212
0x93e0840b63629d856c847c6300e8cb4e3b2c9f99,1200
0x91962586c46ccf6fb53dad1f40d50ea20dee08b3,1159
0x6c72184ec81a7b68e0aea1196610c5f28555b78b,1151
0xe94fdc8316043572f23ab891217c430fc75bc09b,1150
0x9139c093a545bf117672cc0b16b2bc49fb4a0924,1148
0x9ed36539b6687da5a7f747349ceaa418c809b3e9,1127
0x336d4b9a1a44e32976140a3d6c393ded742bd3b2,1113
0x9df2a7cb7b8c701c3da067810d2b09956eab8182,1111
0x92dd493a18d8db53f87bbb621bb7b4007ab8dfa8,1095
0x69f1e459917b8625b244bdb8e45478d11bcdc8db,1094
0x21f6af178a497714ff975d1c208dc2027459016c,1083
0xaecd4991bd2ace684e7966d358799f4944f5512b,1082
0xcaa6cfb06afb5d92fbca1b26476c945ed7476779,1063
0xf325d42815b43c52f1182079f82f64be93bdc545,1061
